STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
MHP,D,32,TEMP MN,20120921 0000,20120921 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120922 0000,20120922 0000,41, ,DEG F
MHP,D,32,TEMP MN,20120923 0000,20120923 0000,40, ,DEG F
MHP,D,32,TEMP MN,20120924 0000,20120924 0000,39, ,DEG F
MHP,D,32,TEMP MN,20120925 0000,20120925 0000,35, ,DEG F
MHP,D,32,TEMP MN,20120926 0000,20120926 0000,37, ,DEG F
MHP,D,32,TEMP MN,20120927 0000,20120927 0000,39, ,DEG F
MHP,D,32,TEMP MN,20120928 0000,20120928 0000,39, ,DEG F
MHP,D,32,TEMP MN,20120929 0000,20120929 0000,40, ,DEG F
MHP,D,32,TEMP MN,20120930 0000,20120930 0000,41, ,DEG F
MHP,D,32,TEMP MN,20121001 0000,20121001 0000,43, ,DEG F
MHP,D,32,TEMP MN,20121002 0000,20121002 0000,44, ,DEG F
MHP,D,32,TEMP MN,20121003 0000,20121003 0000,40, ,DEG F
MHP,D,32,TEMP MN,20121004 0000,20121004 0000,39, ,DEG F
MHP,D,32,TEMP MN,20121005 0000,20121005 0000,35, ,DEG F
MHP,D,32,TEMP MN,20121006 0000,20121006 0000,33, ,DEG F
MHP,D,32,TEMP MN,20121007 0000,20121007 0000,33, ,DEG F
MHP,D,32,TEMP MN,20121008 0000,20121008 0000,32, ,DEG F
MHP,D,32,TEMP MN,20121009 0000,20121009 0000,29, ,DEG F
MHP,D,32,TEMP MN,20121010 0000,20121010 0000,27, ,DEG F
MHP,D,32,TEMP MN,20121011 0000,20121011 0000,29, ,DEG F
MHP,D,32,TEMP MN,20121012 0000,20121012 0000,29, ,DEG F
MHP,D,32,TEMP MN,20121013 0000,20121013 0000,32, ,DEG F
MHP,D,32,TEMP MN,20121014 0000,20121014 0000,34, ,DEG F
MHP,D,32,TEMP MN,20121015 0000,20121015 0000,38, ,DEG F
MHP,D,32,TEMP MN,20121016 0000,20121016 0000,42, ,DEG F
MHP,D,32,TEMP MN,20121017 0000,20121017 0000,39, ,DEG F
MHP,D,32,TEMP MN,20121018 0000,20121018 0000,41, ,DEG F
MHP,D,32,TEMP MN,20121019 0000,20121019 0000,38, ,DEG F
MHP,D,32,TEMP MN,20121020 0000,20121020 0000,35, ,DEG F
MHP,D,32,TEMP MN,20121021 0000,20121021 0000,32, ,DEG F
MHP,D,32,TEMP MN,20121022 0000,20121022 0000,22, ,DEG F
MHP,D,32,TEMP MN,20121023 0000,20121023 0000,22, ,DEG F
MHP,D,32,TEMP MN,20121024 0000,20121024 0000,17, ,DEG F
MHP,D,32,TEMP MN,20121025 0000,20121025 0000,20, ,DEG F
MHP,D,32,TEMP MN,20121026 0000,20121026 0000,30, ,DEG F
MHP,D,32,TEMP MN,20121027 0000,20121027 0000,32, ,DEG F
MHP,D,32,TEMP MN,20121028 0000,20121028 0000,32, ,DEG F
MHP,D,32,TEMP MN,20121029 0000,20121029 0000,33, ,DEG F
MHP,D,32,TEMP MN,20121030 0000,20121030 0000,33, ,DEG F
MHP,D,32,TEMP MN,20121031 0000,20121031 0000,32, ,DEG F
MHP,D,32,TEMP MN,20121101 0000,20121101 0000,28, ,DEG F
MHP,D,32,TEMP MN,20121102 0000,20121102 0000,26, ,DEG F
MHP,D,32,TEMP MN,20121103 0000,20121103 0000,30, ,DEG F
MHP,D,32,TEMP MN,20121104 0000,20121104 0000,33, ,DEG F
MHP,D,32,TEMP MN,20121105 0000,20121105 0000,37, ,DEG F
MHP,D,32,TEMP MN,20121106 0000,20121106 0000,36, ,DEG F
MHP,D,32,TEMP MN,20121107 0000,20121107 0000,32, ,DEG F
MHP,D,32,TEMP MN,20121108 0000,20121108 0000,20, ,DEG F
MHP,D,32,TEMP MN,20121109 0000,20121109 0000,10, ,DEG F
MHP,D,32,TEMP MN,20121110 0000,20121110 0000,5, ,DEG F
MHP,D,32,TEMP MN,20121111 0000,20121111 0000,4, ,DEG F
MHP,D,32,TEMP MN,20121112 0000,20121112 0000,23, ,DEG F
MHP,D,32,TEMP MN,20121113 0000,20121113 0000,26, ,DEG F
MHP,D,32,TEMP MN,20121114 0000,20121114 0000,28, ,DEG F
MHP,D,32,TEMP MN,20121115 0000,20121115 0000,29, ,DEG F
MHP,D,32,TEMP MN,20121116 0000,20121116 0000,29, ,DEG F
MHP,D,32,TEMP MN,20121117 0000,20121117 0000,28, ,DEG F
MHP,D,32,TEMP MN,20121118 0000,20121118 0000,25, ,DEG F
MHP,D,32,TEMP MN,20121119 0000,20121119 0000,21, ,DEG F
MHP,D,32,TEMP MN,20121120 0000,20121120 0000,26, ,DEG F
MHP,D,32,TEMP MN,20121121 0000,20121121 0000,27, ,DEG F
MHP,D,32,TEMP MN,20121122 0000,20121122 0000,26, ,DEG F
MHP,D,32,TEMP MN,20121123 0000,20121123 0000,29, ,DEG F
MHP,D,32,TEMP MN,20121124 0000,20121124 0000,30, ,DEG F
MHP,D,32,TEMP MN,20121125 0000,20121125 0000,28, ,DEG F
MHP,D,32,TEMP MN,20121126 0000,20121126 0000,27, ,DEG F
MHP,D,32,TEMP MN,20121127 0000,20121127 0000,27, ,DEG F
MHP,D,32,TEMP MN,20121128 0000,20121128 0000,27, ,DEG F
MHP,D,32,TEMP MN,20121129 0000,20121129 0000,29, ,DEG F
MHP,D,32,TEMP MN,20121130 0000,20121130 0000,27, ,DEG F
MHP,D,32,TEMP MN,20121201 0000,20121201 0000,26, ,DEG F
MHP,D,32,TEMP MN,20121202 0000,20121202 0000,29, ,DEG F
MHP,D,32,TEMP MN,20121203 0000,20121203 0000,26, ,DEG F
MHP,D,32,TEMP MN,20121204 0000,20121204 0000,32, ,DEG F
