STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
CAP,D,3,SNOW WC,20120818 0000,20120818 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120819 0000,20120819 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120820 0000,20120820 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120821 0000,20120821 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120822 0000,20120822 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120823 0000,20120823 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120824 0000,20120824 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120825 0000,20120825 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120826 0000,20120826 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120827 0000,20120827 0500,-0.48, ,INCHES
CAP,D,3,SNOW WC,20120828 0000,20120828 0500,-0.48, ,INCHES
CAP,D,3,SNOW WC,20120829 0000,20120829 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120830 0000,20120830 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120831 0000,20120831 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120901 0000,20120901 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120902 0000,20120902 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120903 0000,20120903 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120904 0000,20120904 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120905 0000,20120905 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120906 0000,20120906 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120907 0000,20120907 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120908 0000,20120908 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120909 0000,20120909 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120910 0000,20120910 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120911 0000,20120911 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120912 0000,20120912 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120913 0000,20120913 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120914 0000,20120914 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120915 0000,20120915 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120916 0000,20120916 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120917 0000,20120917 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120918 0000,20120918 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120919 0000,20120919 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120920 0000,20120920 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120921 0000,20120921 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120922 0000,20120922 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120923 0000,20120923 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120924 0000,20120924 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120925 0000,20120925 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120926 0000,20120926 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120927 0000,20120927 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120928 0000,20120928 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120929 0000,20120929 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120930 0000,20120930 0000,---, ,INCHES
CAP,D,3,SNOW WC,20121001 0000,20121001 0000,---, ,INCHES
CAP,D,3,SNOW WC,20121002 0000,20121002 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20121003 0000,20121003 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20121004 0000,20121004 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20121005 0000,20121005 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121006 0000,20121006 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121007 0000,20121007 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121008 0000,20121008 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121009 0000,20121009 0500,-0.48, ,INCHES
CAP,D,3,SNOW WC,20121010 0000,20121010 0500,-0.48, ,INCHES
CAP,D,3,SNOW WC,20121011 0000,20121011 0500,-0.48, ,INCHES
CAP,D,3,SNOW WC,20121012 0000,20121012 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121013 0000,20121013 0500,-0.48, ,INCHES
CAP,D,3,SNOW WC,20121014 0000,20121014 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121015 0000,20121015 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121016 0000,20121016 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121017 0000,20121017 0500,-0.36, ,INCHES
